*** COMPREHENSIVE AEROLOGICAL REFERENCE DATASET (CARDS) STATION HISTORY *** 

NUMBER = STATION NUMBER (1ST 5 DIGITS IS WMO NUMBER)
NAME = STATION NAME 
COUNTRY = FIPS COUNTRY CODE 
LATITUDE = LATITUDE IN DEGREES & HUNDREDTHS (SOUTH = NEGATIVE)  
LONGITUDE = LONGITUDE IN DEGREES & HUNDREDTHS (WEST = NEGATIVE) 
ELEV = ELEVATION IN METERS (UNKNOWN = 9999.9)   
BEGINS = BEGINNING YEAR-MONTH FOR DIGITAL DATA  
ENDS = ENDING YEAR-MONTH FOR DIGITAL DATA (999912 = STATION STILL ACTIVE)   

NUMBER NAME                            COUNTRY    LATITUDE  LONGITUDE   ELEV    BEGINS ENDS 

010010 JAN MAYEN(NOR-NAVY)                  NO    70.93300   -8.66700    9.0    198803 999912   
010010 JAN MAYEN                            NO    70.93300   -8.66700    9.0    197510 198803   
010010 JAN MAYEN                            NO    70.95000   -8.66700    9.0    194906 197510   
010040 NY-ALESUND II                        NO    78.91700   11.93300    8.0    199211 999912   
010050 ISFJORD RADIO                        NO    78.06700   13.63300    9.0    195709 195903   
010200 MURCHISON BAY                        NO    80.05000   18.30000  676.0    195709 195808   
010280 BJORNOYA                             NO    74.51700   19.01700   18.0    197510 999912   
010280 BJORNOYA                             NO    74.50000   19.00000   18.0    195701 197510   
010300 TROMSO/SKATTORA                      NO    69.70000   19.01700   12.0    194901 196106   
011520 BODO VI (CIV/MIL)                    NO    67.25000   14.40000    8.0    198807 999912   
011520 BODO VI (NOR-AFB)                    NO    67.25000   14.40000    8.0    198803 198807   
011520 BODO VI                              NO    67.25000   14.40000    8.0    198706 198803   
011520 BODO                                 NO    67.25000   14.40000    8.0    195707 198706   
012410 ORLAND III(NOR-AFB)                  NO    63.70000    9.60000    7.0    198905 999912   
012410 ORLAND III(NOR-AFB)                  NO    63.70000    9.60000   10.0    198807 198905   
012410 ORLAND (NOR-AFB)                     NO    63.70000    9.60000   10.0    198301 198807   
012410 ORLAND                               NO    63.70000    9.60000   10.0    197410 198301   
012410 ORLAND                               NO    63.70000    9.40000   10.0    195805 197410   
013840 OSLO/GARDERMOEN                      NO    60.20000   11.10000  201.0    198412 999912   
013840 OSLO/GARDERMOEN                      NO    60.20000   11.10000  206.0    194901 198412   
014150 STAVANGER/SOLA                       NO    58.86700    5.66700   33.0    197405 999912   
014150 STAVANGER/SOLA                       NO    58.86700    5.66700   34.0    194901 197405   
020570 LULEA/KALLAX TO 021850               SW    65.55000   22.13300    8.0    196401 197706   
020620 OSTERSUND/FROSON TO 022250           SW    63.18300   14.50000  366.0    194909 197706   
020660 SUNDSVALL/HARNOSAND TO 023650        SW    62.53300   17.45000    6.0    196508 197706   
020770 STOCKHOLM/BROMMA TO 024650           SW    59.35000   17.95000   22.0    194901 197706   
020840 GOTEBURG/TORSLANDA TO 025270         SW    57.71700   11.78300    5.0    194901 197706   
021600 VISBY AERO STN TO 025910             SW    57.65000   18.35000   45.0    196605 197706   
021850 LULEA/KALLAX AFB                     SW    65.55000   22.13300   16.0    198602 999912   
021850 LULEA/KALLAX AFB                     SW    65.55000   22.13300   34.0    198301 198602   
021850 LULEA/KALLAX AFB                     SW    65.55000   22.13300   17.0    198208 198301   
021850 LULEA/KALLAX                         SW    65.55000   22.13300   17.0    197708 198208   
022250 OSTERSUND/FROSON                     SW    63.18300   14.50000  366.0    197707 198312   
023650 SUNDSVALL/HARNOSAND                  SW    62.53300   17.45000    6.0    197707 999912   
024650 STOCKHOLM/BROMMA                     SW    59.35000   17.95000   22.0    197708 999912   
025270 GOTEBORG/LANDVETTER                  SW    57.66700   12.30000  155.0    197805 999912   
025910 VISBY AERO STATION                   SW    57.65000   18.35000   45.0    197707 999912   
028360 SODANKYLA                            FI    67.36700   26.65000  178.0    197408 999912   
028360 SODANKYLA                            FI    67.36700   26.65000  184.0    194911 197408   
029350 JYVASKYLA FAFB                       FI    62.40000   25.66700  139.0    198506 999912   
029350 JYVASKYLA FAFB                       FI    62.40000   25.66700  140.0    198208 198506   
029350 JYVASKYLA                            FI    62.40000   25.66700  140.0    197407 198208   
029350 JYVASKYLA                            FI    62.40000   25.66700  139.0    195708 197407   
029630 JOKIOINEN                            FI    60.81700   23.50000  103.0    195701 999912   
029740 HELSINKI/VANTAA                      FI    60.31700   24.96700   51.0    194901 195612   
030050 LERWICK/SHETLAND IS                  UK    60.13300   -1.18300   82.0    195601 999912   
030260 STORNOWAY                            UK    58.21700   -6.31700    9.0    198506 999912   
030260 STORNOWAY                            UK    58.21700   -6.31700   14.0    195805 198506   
030910 ABERDEEN/DYCE                        UK    57.20000   -2.21700   65.0    198812 999912   
031700 SHANWELL                             UK    56.43300   -2.86700    4.0    199010 199209   
